,사업장명,상세영업상태명,소재지전체주소,시설규모,kakao_score,lat,lon
57,영인산자연휴양림 숲속야영장,휴업,충청남도 아산시 영인면 아산리 산 56-1,7958.0,,36.8402934,126.9513585
58,늘해랑캠핑장,휴업,충청북도 제천시 금성면 포전리 205번지,1980.0,,37.0627249,128.2056879
59,구절초마을캠핑장,휴업,강원도 정선군 여량면 구절리 276-1,2837.0,,37.524277,128.7576801
60,초원오토캠핑장,휴업,충청북도 충주시 중앙탑면 하구암리 671,3943.0,,37.0399349,127.8168991
61,가리왕산 자건재,휴업,강원도 정선군 정선읍 회동리 320,,,37.4232504,128.5767176
62,별나무캠핑장,휴업,경상북도 고령군 운수면 화암리 1163,,,35.7801725,128.2693211
63,얼음골야영장,휴업,강원도 양양군 서면 서림리 375-1,502.0,,37.9596652,128.5145532
64,용추자연휴양림야영장,휴업,경상남도 함양군 안의면 상원리 산 156-1,170.0,,35.7032336,127.7534856
65,한탄강 소나무 캠핑,휴업,경기도 연천군 전곡읍 전곡리 56-23,,,38.015952,127.0766053
66,에브라임캠핑장,휴업,경기도 연천군 신서면 도신리 787,,,38.15799,127.1044157
67,다솔 관광농원,휴업,경기도 연천군 미산면 광동리 38번지,2818.0,,38.0368844,126.9565133
68,톱머리 글램핑장,휴업,전라남도 무안군 망운면 피서리 811-5번지,1461.0,,34.969111,126.3835586
69,사선대야영장,휴업,전라북도 임실군 관촌면 관촌리 1010-17번지,3200.0,,35.6681195,127.267605
70,청빈낙원,휴업,충청남도 공주시 사곡면 운암리 44-1,1894.0,,36.55183299999999,127.0234134
71,선두바다캠핑장,휴업,인천광역시 강화군 길상면 선두리 973-9,285.0,,37.6012023,126.4916236
72,월촌캠핑야영장,휴업,경상남도 함안군 군북면 월촌리 1365-2,141.0,,35.291564,128.3020472
73,국립두타산자연휴양림,휴업,강원도 평창군 진부면 수항리 산 10,2000.0,,37.5624818,128.5718227
74,놀자캠핑,휴업,충청남도 공주시 사곡면 해월리 152-1 외 1필지,1800.0,,36.5151985,127.0120161
75,올챙이캠핑장,휴업,강원도 횡성군 둔내면 궁종리 75-1번지,458.0,,37.5091275,128.1440213
76,914 해변 캠핑장,휴업,전라북도 고창군 상하면 자룡리 529-5,133.0,,35.4441846,126.4353487
77,참숯골,휴업,충청남도 당진시 고대면 슬항리 4-5,2256.0,,36.950852,126.6226975
78,팔리봉 캠핑장,휴업,강원도 인제군 북면 월학리 1539번지,1729.0,,38.1583882,128.1839319
79,영천 구룡산 오토캠핑장,휴업,경상북도 영천시 북안면 상리 297-3,550.0,,35.8533079,128.9895707
80,삼밭골글램핑,휴업,경상북도 영천시 야사동 619,3300.0,,35.9896008,128.9400111
81,글램코티지,휴업,경상북도 영천시 임고면 매호리 574-4,96.0,,35.9943359,128.9629828
82,용봉산글램핑,휴업,충청남도 홍성군 홍북읍 상하리 88-20,617.0,,36.6439426,126.6618396
83,옥샘캠핑장,휴업,경상남도 밀양시 산내면 남명리 58-1번지,15398.0,3.0,35.5793613,128.9698319
84,김포예당캠핑장,휴업,경기도 김포시 월곶면 성동리 152번지,,,37.74814800000001,126.5336746
85,물고기 관광농원,휴업,경기도 김포시 감정동 299-1,,,37.627239,126.6913139
86,산타파크 캠핑장,휴업,강원도 태백시 황지동 291-6,,,37.2063287,128.9803759
87,내린천 주말농장,휴업,강원도 인제군 상남면 하남리 925,,,37.9007531,128.2755015
88,밀양댐스쿨캠핑장,휴업,경상남도 밀양시 단장면 고례리 1516-1번지,230.0,,35.4924042,128.9294489
