CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP301624,비토 국민여가캠핑장,"일반야영장,카라반,글램핑",34.9656309,127.9825479,경남 사천시 서포면 용궁로 124,26,0,14,3,3,3,1,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2017-09-28,1623,I,20201125000000,,,N,
CAP301635,숲속야영장 휴림,"일반야영장,카라반,글램핑",33.443436,126.4289921,제주도 제주시 애월읍 광령남서길 40,20,0,10,4,2,1,3,14,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동시설,마트, 편의점",,2020-11-20,2017-09-05,1634,I,20201125000000,,,N,
CAP301636,숲속에서 캠핑장,"일반야영장,글램핑",35.6635612,129.0028941,경상북도 청도군 운문면 운문로 1033-31,28,0,7,0,6,4,2,35,0,0,7,"전기,무선인터넷,장작판매,온수,트램폴린,놀이터,운동시설",,2020-11-20,2018-05-25,1635,I,20201125000000,,,N,
CAP301647,오아시스글램핑,"일반야영장,카라반,글램핑",35.7911098,129.3054216,경북 경주시 구정동 17-1 외 2필지,0,0,12,2,2,2,3,14,0,0,14,"전기,무선인터넷,온수,물놀이장,놀이터,운동장,운동시설",,2020-11-20,2017-12-18,1646,I,20201125000000,,,N,
CAP301652,(주)밀모 빨강치마자동차야영장,"일반야영장,자동차야영장,카라반,글램핑",35.9324066,127.6696108,전라북도 무주군 적상면 사산리  산235,0,50,15,11,2,2,2,5,0,0,0,"전기,온수,물놀이장,놀이터,마트, 편의점",,2020-11-20,2015-07-30,1651,I,20201125000000,,,N,
CAP301655,캠프통 아일랜드,글램핑,37.7107945,127.484201,경기 가평군 청평면 호반로 976 761-6,0,0,28,0,3,3,0,28,0,0,28,"전기,무선인터넷,온수,놀이터,운동시설",바베큐시설 및 카페 운영중,2020-11-20,2016-07-19,1654,I,20201125000000,,,N,
CAP301657,메이플트리글램핑,글램핑,37.7622269,127.3645131,경기 가평군 상면 수목원로 181-28 메이플트리,0,0,23,0,2,2,8,23,4,4,23,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2016-10-28,1656,I,20201125000000,,,N,
CAP301658,A&RS캡틴카라반 글램핑,"카라반,글램핑",37.7811021,127.3740378,경기도 가평군 상면 임초리  480-7,0,0,14,5,2,2,1,3,2,3,1,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트, 편의점",족구장,2020-11-20,2015-06-12,1657,I,20201125000000,,,N,
CAP301661,MK골드캠프,"일반야영장,카라반,글램핑",37.2169109,127.1369537,경기도 용인시 기흥구 고매동 기흥단지로 398  골드CC클럽하우스,2,0,17,3,2,2,2,9,0,0,0,,,2020-11-20,2016-02-01,1660,I,20201125000000,,,N,
CAP301667,스톤힐,"일반야영장,글램핑",34.8924728,128.6553113,경남 거제시 수양1길 92-5,0,0,9,0,0,0,0,10,0,0,10,"전기,무선인터넷,온수,놀이터",,2020-11-20,2017-12-29,1666,I,20201125000000,,,N,
