"CMPSI_ID","CMPSI_NM","CMPSI_SCTIN_NM","CMPSI_LTTD_VAL","CMPSI_LNGTD_VAL","CMPSI_ADDR",CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,"CMPSI_ETC_SBFCL_NM1","CMPSI_ETC_SBFCL_NM2","CMPSI_INFO_DATA_STNDD_DTM","CMPSI_CNPRM_DTM",DATA_CONNO,"OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"CAP300015","CLUB 596","일반야영장,글램핑","36.683579","126.2683706","충남 태안군 남면 몽산리 596",0,0,5,0,2,2,2,8,0,0,6,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로",NULL,"2020-11-20","2017-08-01",14,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300016","DMZ 마루캠핑","자동차야영장","38.1349255","127.019287","경기도 연천군 중면 군중로 399",30,0,0,0,1,1,1,20,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2017-09-28",15,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300017","DMZ캠핑장","자동차야영장","38.2201219","127.1806653","강원도 철원군 철원읍 독서당길 225-134  DMZ캠핑장",13,0,0,0,1,1,2,7,0,0,0,"전기,무선인터넷,장작판매",NULL,"2020-11-20","2016-06-09",16,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","일반야영장","34.7367086","126.3935277","전라남도 영암군 삼호읍 삼포리  1894",0,40,0,6,5,2,4,0,0,0,0,"온수,운동장",NULL,"2020-11-20","2012-11-27",17,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300019","Najost Camp","일반야영장","37.1103264","128.6037991","강원 영월군 김삿갓면 김삿갓로 638",0,20,0,0,2,1,3,20,0,0,0,"전기,무선인터넷,장작판매,온수",NULL,"2020-11-20","2015-10-07",18,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300020","THATS CAMPING 횡성자연휴양림야영장","일반야영장,글램핑","37.5390902","128.1110517","강원도 횡성군 갑천면정포로430번길 113  THATS CAMPING 횡성자연휴양림야영장",0,60,5,0,3,2,2,0,0,0,0,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트, 편의점","펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷","2020-11-20","2015-05-29",19,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","일반야영장,자동차야영장,카라반","34.7181692","127.7818433","전남 여수시 돌산읍 상하동길 268",9,19,0,2,2,2,1,18,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2018-01-15",20,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","자동차야영장","37.389235","127.7839463","강원도 원주시 지정면 지정로 1393",0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,"2020-11-20","2017-07-11",21,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300023","VIP오토캠핑장","자동차야영장","35.4972561","128.9267335","경상남도 밀양시 단장면 고례리  1408-5",0,28,0,0,1,1,2,15,0,0,0,"전기,트램폴린",NULL,"2020-11-20","2015-05-26",22,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300024","W글램핑","일반야영장,글램핑","35.3932118","127.8873465","경상남도 산청군 산청읍 내리  259-5",1,0,14,0,2,2,2,15,0,1,15,"전기,놀이터,운동시설",NULL,"2020-11-20","2016-05-03",23,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300025","YC글램핑","일반야영장","38.0382263","126.9660207","경기 연천군 미산면 청정로 1049",0,0,0,0,0,0,0,0,0,0,0,"물놀이장,운동시설",NULL,"2020-11-20","2017-04-10",24,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300026","YELLOW HILL","자동차야영장","37.7609521","127.7449681","강원도 춘천시 동산면 종자리로 224-24",0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,"2020-11-20","2017-12-19",25,"I","20201125000000",NULL,NULL,"N",NULL
