CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300330,더드림핑 야영장,"자동차야영장,카라반,글램핑",37.6529829,127.3701474,경기도 남양주시 화도읍 금남리 123번지,0,0,13,10,2,2,1,32,0,0,0,"장작판매,물놀이장,놀이터,산책로,운동시설",,2020-11-20,2017-09-29,329,I,20201125000000,,,N,
CAP300336,더 프라우드,"카라반,글램핑",37.2045616,128.0085048,충청북도 제천시 백운면 운학리  105-2,0,0,22,15,4,4,4,50,0,0,50,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",,2020-11-20,2015-06-26,335,I,20201125000000,,,N,
CAP300337,더하루야영장,"일반야영장,카라반",35.901395,127.8117786,전라북도 무주군 구천동로 543-0  더하루야영장,0,0,0,5,0,0,0,5,0,0,5,물놀이장,카페,2020-11-20,2016-08-09,336,I,20201125000000,,,N,
CAP300345,무주덕유산계곡글램핑,"일반야영장,자동차야영장,카라반,글램핑",35.9042537,127.7766747,전북 무주군 설천면 구천동1로 44,0,10,12,2,1,1,1,19,0,0,14,"전기,무선인터넷,장작판매,온수,물놀이장,운동장,운동시설,마트, 편의점",,2020-11-20,2020-07-17,344,I,20201125000000,,,N,
CAP300347,덕유산700휠링캠프,"일반야영장,카라반",35.876952,127.822151,전라북도 무주군 무풍면 삼거리  137,14,0,0,3,1,1,4,7,0,0,7,"전기,장작판매,온수,물놀이장,놀이터,운동장",,2020-11-20,2015-07-20,346,I,20201125000000,,,N,
CAP300358,도림사오토캠핑장,"일반야영장,카라반",35.2620942,127.2668683,전남 곡성군 곡성읍 도림로 74 구원리 553-3,40,0,0,10,3,1,3,0,0,0,0,"전기,온수,트램폴린,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2012-05-15,357,I,20201125000000,,,N,
CAP300380,망상 오토캠핑리조트,"자동차야영장,카라반",37.5994459,129.0807175,강원도 동해시 동해대로6370  망상오토캠핑리조트,0,44,0,19,2,2,2,0,0,0,0,"전기,무선인터넷,온수,산책로,운동장,운동시설,마트, 편의점","해변, 바비큐장, 카페, 캐빈하우스, 훼밀리롯지, 전통한옥",2020-11-20,2002-05-06,379,I,20201125000000,,,N,
CAP300382,동화카라반캠핑장,카라반,37.8533921,127.5086574,경기도 가평군 가평읍 가화로 440-151  동화카라반캠핑장,0,0,0,10,3,2,11,10,0,0,10,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설","야외 화장실, 야외 샤워실, 사무실",2020-11-20,2017-11-23,381,I,20201125000000,,,N,
CAP300384,돼지문화원 카라반,카라반,37.3915471,127.8687169,강원도 원주시 지정면 월송리  338-19,0,0,0,3,0,0,0,3,0,0,3,"전기,무선인터넷,온수,물놀이장,놀이터,운동장,운동시설","마니동물원,체험장",2020-11-20,2016-07-11,383,I,20201125000000,,,N,
CAP300396,득량만풍광휴식센터,"일반야영장,카라반",34.7533561,127.2522858,전라남도 고흥군 대서면 안남리 산 195,0,0,0,4,0,0,0,4,0,0,0,"전기,온수",,2020-11-20,2016-02-02,395,I,20201125000000,,,N,
