CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300348,덕유캠프농장,일반야영장,35.924679,127.759496,전라북도 무주군 설천면 구천동로 1262-4  덕유캠프농장,70,0,8,0,2,2,2,40,0,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2020-11-20,2015-05-21,347,I,20201125000000,,,N,
CAP300352,덤바위 캠핑장,일반야영장,36.7999525,127.4821912,충청북도 진천군 문백면 농다리로 615  덤바위 캠핑장,40,0,0,0,2,2,1,20,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2015-08-17,351,I,20201125000000,,,N,
CAP300353,도고온천모두캠핑장,일반야영장,36.76604,126.8800202,충남 아산시 도고면 도고온천로 207-20,28,0,0,0,2,2,2,15,1,1,2,"전기,무선인터넷,장작판매,온수",,2020-11-20,2015-09-25,352,I,20201125000000,,,N,
CAP300354,도둑골 야영장,일반야영장,35.1969208,127.8596035,경남 하동군 옥종면 호계천로 210,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2016-08-04,353,I,20201125000000,,,N,
CAP300355,도래재별빛마을캠핑장,일반야영장,35.5601046,128.9393506,경남 밀양시 단장면 도래재로 578-10,0,29,0,0,2,2,2,25,0,0,0,"전기,장작판매,물놀이장,놀이터,산책로,운동시설",,2020-11-20,2016-11-23,354,I,20201125000000,,,N,
CAP300356,도레미 캠핑장,일반야영장,36.8573495,127.8205319,충청북도 괴산군 불정면 관동로세평4길 24  도레미캠핑장,78,0,0,0,2,2,2,160,0,0,0,"전기,장작판매,온수,트램폴린,물놀이장,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2015-04-20,355,I,20201125000000,,,N,
CAP300357,도리돌 캠핑장,일반야영장,38.0612852,127.3868178,경기도 포천시 이동면 도평리  110-5,0,24,0,0,1,1,1,15,0,0,1,"전기,무선인터넷,장작판매,온수,트램폴린",,2020-11-20,2016-03-28,356,I,20201125000000,,,N,
CAP300358,도림사오토캠핑장,"일반야영장,카라반",35.2620942,127.2668683,전남 곡성군 곡성읍 도림로 74 구원리 553-3,40,0,0,10,3,1,3,0,0,0,0,"전기,온수,트램폴린,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2012-05-15,357,I,20201125000000,,,N,
CAP300359,도마치캠핑장,"일반야영장,자동차야영장",38.0499382,127.3823506,경기도 포천시 이동면 화동로 2318-6  도마치캠핑장,0,60,0,0,2,2,2,40,0,2,0,"전기,무선인터넷,장작판매,온수,트램폴린,운동시설",,2020-11-20,2016-07-08,358,I,20201125000000,,,N,
CAP300362,도토리캠프,일반야영장,35.2762843,128.0390364,경상남도 진주시 명석면 광제산로 737  진주 도토리캠프,35,0,0,0,1,1,1,17,0,0,0,"전기,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동시설,마트, 편의점",,2020-11-20,2016-06-03,361,I,20201125000000,,,N,
CAP300363,돌고래 하우스 카라반,일반야영장,33.2327306,126.4994002,제주특별자치도 서귀포시 강정동 이어도로 826-58  돌고래하우스,0,0,0,0,0,0,0,0,0,0,0,전기,,2020-11-20,2015-06-05,362,I,20201125000000,,,N,
CAP300364,돌고래오토캠핑장,일반야영장,36.6737781,126.2690048,충청남도 태안군 남면 몽산리  661-4번지,0,0,0,0,0,0,0,0,0,0,0,"전기,온수",,2020-11-20,2016-07-25,363,I,20201125000000,,,N,
CAP300365,돌고래오토캠핑장2,일반야영장,36.6745128,126.2699613,"충남 태안군 남면 몽산리 663-1,2",0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2017-11-09,364,I,20201125000000,,,N,
CAP300366,돌고래펜션야영장(일반),일반야영장,36.6739426,126.2690814,충남 태안군 남면 몽산리661-1  돌고래펜션야영장(일반),0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2016-11-14,365,I,20201125000000,,,N,
CAP300367,돌담캠핑장,"일반야영장,글램핑",35.1359472,128.5167768,경상남도 창원시 마산합포구 진동면 인곡리  726,12,0,9,0,1,1,1,25,0,0,0,"전기,장작판매,온수,물놀이장,운동장,운동시설,마트, 편의점",동물농장 텃밭,2020-11-20,2015-11-25,366,I,20201125000000,,,N,
