휴양림명,가동가능 총수량,가동가능 주중 수량,가동가능 주말 수량,실제 가동 총 수량,실제 가동 주중 수량,실제 가동 주말 수량,총 가동률,주중 가동률,주말 가동률,운영동,숲속의 집,휴양관,연립동 총 수량,입장시설 수량,입장시설 금액,주차시설 수량,주차시설 금액,숙박시설 수량,숙박시설 금액,야영시설 수량,야영시설 금액,산림문화 수량,산림문화 금액,현장판매 수량,현장판매 금액,기타상품 수량,기타상품 금액,기타수익 수량,기타수익 금액,합계 수량,합계 금액
중미산 자연휴양림,1134,739,395,813,507,306,71.693,68.606,77.468,15,9,0,6,9543,1550300,1676,3118000,813,70412900,330,4931000,0,0,0,0,0,0,0,0,12411,80112700
지리산 자연휴양림,1712,1094,618,671,401,270,39.194,36.654,43.689,40,8,14,18,6840,85900,531,103500,671,42735700,44,664000,0,0,68,105000,0,0,0,0,8176,43802100
진도 자연휴양림,1892,1210,682,1233,759,474,65.169,62.727,69.501,27,13,14,0,6190,0,41,0,1233,93984000,0,0,0,0,29,58000,0,0,0,0,7574,94216500
천관산 자연휴양림,1409,915,494,746,461,285,52.945,50.383,57.692,15,11,0,4,3417,84900,292,151500,746,47093000,62,1005000,0,0,81,134000,0,0,0,0,4646,48546400
청옥산 자연휴양림,912,581,331,342,169,173,37.5,29.088,52.266,16,0,13,3,3041,190500,165,316500,342,17933700,694,13956000,0,0,315,323000,0,0,0,0,4676,33136700
청태산 자연휴양림,2527,1613,914,1605,911,694,63.514,56.479,75.93,42,12,30,0,24969,5082200,3553,10291000,1629,114649700,354,5542500,0,0,121,151000,0,0,0,0,30628,135846400
칠보산 자연휴양림,2015,1275,740,1058,589,469,52.506,46.196,63.378,38,6,28,4,9879,742100,745,1521000,1059,69153300,207,2836000,0,0,75,105000,0,0,0,0,12011,74545400
통고산 자연휴양림,1610,1032,578,668,382,286,41.491,37.016,49.481,24,7,10,7,6009,411500,332,687000,668,45561300,165,2487500,0,0,127,189000,0,0,0,0,7325,49372300
화천숲속 야영장,0,0,0,0,0,0,0,0,0,0,0,0,0,4152,110700,165,178500,0,0,1704,38640000,0,0,907,907000,0,0,0,0,6995,40602200
황정산 자연휴양림,1395,894,501,584,321,263,41.864,35.906,52.495,21,3,10,8,6145,103400,146,115500,584,46232200,200,3371500,0,0,151,205000,0,0,0,0,7295,50212100
회문산 자연휴양림,988,542,446,413,227,186,41.802,41.882,41.704,17,9,8,0,7051,1334600,1113,2769000,413,37998000,172,2635500,0,0,166,209000,0,0,0,0,8936,44987100
희리산 자연휴양림,2608,1669,939,1553,887,666,59.548,53.146,70.927,33,9,10,14,16038,1155900,1256,2388000,1561,107601900,840,16962500,0,0,228,335000,0,0,0,0,20043,128739300
