,소재지전체주소,lat,lon
90,대전광역시 유성구 구성동 32-2,36.3761425,127.3749918
91,충청북도 단양군 단양읍 고수리 91-3,36.9855843,128.3805182
92,충청북도 단양군 영춘면 남천리 93-1,37.0382374,128.500739
93,전라남도 광양시 옥룡면 동곡리 4-6,35.0692864,127.6320322
94,충청남도 청양군 장평면 적곡리 634-1번지,36.39268670000001,126.8981428
95,충청남도 태안군 남면 진산리 613-11,36.7246181,126.272837
96,전라남도 고흥군 대서면 안남리 1448,34.751484,127.2501488
97,경기도 포천시 이동면 도평리 526,38.0757063,127.4032977
98,경상북도 경주시 강동면 왕신리 1270-1,35.9623574,129.2834722
99,강원도 홍천군 화촌면 구성포리 1779,37.7933874,127.8893629
100,경기도 용인시 처인구 해곡동 225-1,37.1978783,127.2729745
101,대구광역시 북구 산격동 1477-1번지,35.9095055,128.6039958
102,전라북도 고창군 상하면 자룡리 529-27번지,35.4443698,126.4357306
103,강원도 고성군 간성읍 장신리 513번지 장신유원지휴게소,38.3311617,128.3780879
104,강원도 양양군 현남면 광진리 78-20번지,37.9534953,128.7727582
105,경상북도 경주시 감포읍 전촌리 686-2번지,35.7872111,129.4900735
106,강원도 고성군 현내면 초도리 94-7번지,38.481854,128.4373195
107,강원도 양양군 양양읍 조산리 433-19번지,38.112352,128.6376361
108,강원도 양양군 현북면 기사문리 89-37번지,38.0061796,128.7306347
109,제주특별자치도 제주시 구좌읍 김녕리 488번지,33.5581981,126.7619236
110,제주특별자치도 제주시 애월읍 곽지리 1565번지,33.4507522,126.3056339
111,강원도 고성군 간성읍 진부리 66-8번지 진부리마을회관,38.2918233,128.3627569
112,강원도 양양군 현남면 동산리 203-34번지,37.9815546,128.7596635
113,강원도 양양군 현남면 동산리 90-35번지,37.9789861,128.759637
114,강원도 양양군 강현면 정암리 1-4번지,38.1439125,128.6121743
115,강원도 양양군 강현면 전진리 61-13번지,38.1289068,128.6243174
116,강원도 양양군 현북면 하광정리 616번지,38.023697,128.7226991
117,강원도 양양군 현남면 북분리 2-5번지,37.9855192,128.7506394
118,강원도 양양군 강현면 물치리 67-1번지,38.1536005,128.6078636
119,강원도 양양군 현남면 원포리 1-4번지,37.9323094,128.7906566
120,강원도 삼척시 노곡면 하마읍리 341-39번지,37.2839988,129.1834492
121,경상북도 울진군 죽변면 봉평리 97-2번지,37.0438361,129.4127881
122,강원도 양양군 현남면 인구리 1-118번지,37.9717351,128.7623849
123,강원도 양양군 현북면 잔교리 4-4번지,37.9924969,128.7429198
124,강원도 양양군 현남면 남애리 180-11번지,37.9349778,128.7882848
125,강원도 양양군 현남면 남애리 6-53번지,37.9357843,128.7679711
126,강원도 양양군 현남면 남애리 600-14번지,37.9483325,128.7746942
127,충청북도 제천시 청풍면 물태리 288-1,37.0012733,128.1654223
128,강원도 인제군 남면 수산리 495번지,37.9720111,128.0180792
129,경상북도 울진군 죽변면 후정리 53-27번지,37.0691055,129.4153078
130,경상북도 울진군 기성면 망양리 140-6번지 기성면 망양해수욕장 행정봉사실,36.8434517,129.433447
131,강원도 양양군 손양면 동호리 1-113번지,38.0504729,128.6882394
132,강원도 삼척시 근덕면 용화리 259-4번지,37.2915615,129.3010523
133,강원도 고성군 토성면 도원리 413-4번지,38.2670501,128.4689257
134,강원도 고성군 거진읍 화포리 596번지,38.4596259,128.4407382
135,강원도 고성군 토성면 청간리 49-21번지,38.2662749,128.5573796
136,강원도 고성군 토성면 아야진리 230-6번지 아야진해수욕장관리사무실,38.2766211,128.5527075
137,강원도 고성군 죽왕면 가진리 1번지,38.3728865,128.5088724
138,강원도 고성군 죽왕면 공현진리 431-12번지 공현진2리해변관리사무소,38.35713670000001,128.5093914
139,강원도 고성군 거진읍 거진리 340-17번지,38.4421662,128.4539456
140,강원도 고성군 죽왕면 삼포리 1-12번지,38.3127995,128.5368405
141,강원도 고성군 죽왕면 문암진리 19-3번지,38.3027743,128.5421095
142,강원도 고성군 죽왕면 문암진리 460-9번지,38.3027743,128.5421095
143,강원도 고성군 거진읍 반암리 4-1번지,38.42163499999999,128.4624142
144,강원도 고성군 죽왕면 공현진리 143-29번지,38.3530206,128.509953
145,강원도 고성군 토성면 천진리 111번지,38.2605571,128.559916
146,강원도 고성군 죽왕면 삼포리 243-26번지,38.3178727,128.5285207
147,강원도 고성군 죽왕면 오호리 1-3번지 행정봉사실,38.3301054,128.526791
148,강원도 고성군 죽왕면 오호리 68-5번지 봉수대해변,38.3243598,128.5269624
149,전라북도 고창군 상하면 자룡리 산 104-183,35.4420272,126.4348144
150,경상남도 밀양시 용평동 189-4,35.48254379999999,128.7712958
151,강원도 삼척시 원덕읍 월천리 577번지,37.1635379,129.339367
152,경상북도 포항시 북구 송라면 지경리 406,36.2515271,129.3731034
153,경상북도 봉화군 소천면 현동리 737,36.9505391,128.9975886
154,충청북도 충주시 금가면 오석리 515-3,37.0019959,127.8801888
155,강원도 영월군 주천면 용석리 1281-1,37.2201805,128.2757564
156,대구광역시 북구 산격동 1477-1,35.9095055,128.6039958
157,충청남도 보령시 오천면 원산도리 1671-79,36.3694031,126.3995315
158,전라북도 고창군 상하면 자룡리 529-27,35.4443698,126.4357306
159,인천광역시 강화군 화도면 동막리 3 외 7필지,37.5926528,126.4603661
160,강원도 양양군 현북면 중광정리 508,38.0275279,128.7172648
161,강원도 고성군 간성읍 진부리 133,38.295756,128.3639163
162,강원도 고성군 현내면 초도리 94-7,38.481854,128.4373195
163,강원도 고성군 토성면 천진리 112-18,38.2608601,128.5592933
164,강원도 고성군 토성면 청간리 1-14,38.2685731,128.5562703
165,강원도 양양군 현남면 광진리 78-20,37.9534953,128.7727582
166,강원도 양양군 현남면 남애리 600-14,37.9483325,128.7746942
167,강원도 양양군 현남면 북분리 2-5,37.9855192,128.7506394
168,강원도 양양군 현남면 인구리 1-118,37.9717351,128.7623849
169,강원도 양양군 강현면 물치리 67-1,38.1536005,128.6078636
170,강원도 양양군 현남면 남애리 180-11,37.9349778,128.7882848
171,강원도 고성군 죽왕면 오호리 68-10,38.3236707,128.5268096
172,강원도 고성군 죽왕면 가진리 1-2,38.3729428,128.5089918
173,제주특별자치도 제주시 애월읍 곽지리 1565,33.4507522,126.3056339
174,강원도 고성군 죽왕면 삼포리 243-18,38.3180636,128.5311203
175,강원도 고성군 죽왕면 삼포리 1-10,38.313849,128.5360707
176,강원도 고성군 죽왕면 공현진리 431-12,38.35713670000001,128.5093914
177,강원도 고성군 죽왕면 문암진리 19-3,38.3027743,128.5421095
178,강원도 고성군 죽왕면 문암진리 460-9,38.3027743,128.5421095
179,강원도 고성군 죽왕면 공현진리 143-39,38.3532645,128.5095817
180,강원도 고성군 거진읍 거진리 340-20,38.4417561,128.4539935
181,강원도 고성군 거진읍 반암리 4-1,38.42163499999999,128.4624142
182,강원도 고성군 거진읍 화포리 596,38.4596259,128.4407382
183,강원도 양양군 현북면 하광정리 617,38.0232565,128.7237107
184,강원도 고성군 간성읍 장신리 462,38.3316485,128.3803067
185,제주특별자치도 제주시 구좌읍 김녕리 488,33.5581981,126.7619236
186,강원도 양양군 현남면 동산리 90-35,37.9789861,128.759637
187,강원도 양양군 현남면 시변리 12-4,37.9736587,128.759746
188,충청남도 보령시 오천면 원산도리 1860-6 앞 공유수면,36.3628576,126.4316372
189,충청남도 보령시 오천면 원산도리 1860-3,36.3637483,126.4278912
190,충청남도 보령시 오천면 원산도리 1193-1,36.3663229,126.4118857
191,강원도 강릉시 주문진읍 향호리 8-55,37.8996511,128.7843327
